	sex	days	col	bl	weight	melanoma	weightM	weightF	weightRes	daysM	daysF	daysRes
X15332	1	1	1	1	1	1	1	1	1	1	1	1
X53997	1	1	1	1	1	1	1	1	1	1	1	1
X8781	1	1	1	1	1	1	1	1	1	1	1	1
X14182	1	1	1	0.683517507082153	1	1	1	1	1	1	1	1
X47151	1	1	1	1	1	1	1	1	1	1	1	1
X45369	1	1	1	1	1	1	1	1	1	1	1	1
X26257	0.782643571934797	1	1	0.720630816326532	1	1	1	1	0.82444782396088	1	1	1
X28079	1	1	1	1	1	0.791989354838707	1	1	1	1	1	1
X10954	1	1	1	1	1	1	1	1	1	1	1	1
X336	1	1	1	0.448540124999996	1	1	1	1	1	1	1	1
X27227	1	1	1	1	1	1	1	1	1	1	1	1
X18790	1	1	1	1	1	1	1	1	1	1	1	1
X5247	1	1	1	1	1	1	1	1	1	1	1	1
X25683	1	1	1	1	1	1	1	1	1	1	1	1
X13858	1	1	1	1	1	1	1	1	1	1	1	1
X8413	1	1	1	1	1	1	1	1	1	0.975652651757187	1	1
X31453	1	1	1	1	1	1	1	1	1	1	1	1
X12717	1	1	1	1	1	1	1	1	1	1	1	1
X55311	1	1	1	1	1	1	1	1	1	1	1	0.782507855626327
X42874	1	1	1	1	1	1	1	1	1	1	1	1
X14444	1	1	1	1	1	1	1	0.87902478327384	1	1	1	1
X11823	1	0.866452499999998	1	1	1	1	1	1	1	1	1	0.782916162046911
X21200	1	1	1	1	1	1	1	1	1	1	1	1
X10997	1	1	0.614509501661128	0.702368181818185	1	1	1	0.724240604534006	1	1	1	1
X27405	0.0555759537572369	1	0.117898712446339	0.101273364055295	1	1	1	1	1	1	1	1
X6836	1	1	1	1	1	1	1	1	1	1	1	1
X15505	1	1	1	1	1	1	1	1	1	1	1	1
X25565	1	1	1	1	1	1	1	1	1	1	1	1
X12297	1	1	0.624458987341769	0.913316677616144	1	1	1	1	1	1	1	1
X15407	1	1	1	1	1	1	1	1	1	1	1	1
X45138	1	1	1	1	1	1	1	1	1	1	1	1
X3637	1	1	1	1	1	1	1	1	1	1	1	1
X365	1	1	1	1	1	1	1	1	1	1	1	1
X30330	1	1	1	1	1	1	1	1	1	1	1	1
X32189	1	1	1	1	1	1	1	1	1	0.391338100558653	1	1
X4632	1	1	1	1	1	1	1	1	1	1	1	1
X38439	1	1	1	1	1	1	1	1	1	1	1	1
X11493	1	0.269670157068053	1	1	0.386140528301885	1	0.522375957446804	0.728172663316583	0.265129865951742	0.049645301204823	1	0.459930593607302
X50887	1	1	1	1	1	1	1	1	1	1	1	1
X3123	1	1	1	1	1	1	1	1	1	1	1	1
X6684	1	1	1	1	0.67613315280464	1	0.697402588878763	1	0.700106925795053	1	1	1
X17920	1	1	1	1	0.90494595215311	1	0.848562094240839	1	0.497901	1	1	1
